pop,s.region,ms,id,rep,mom,year,surv,leaf.num,leaf.length,rack
L11,SO.s,S,AW0191,22,AW0191,0,1,6,6,23
L11,SO.s,S,AW0191,23,AW0191,0,1,10,26,23
L11,SO.s,S,AW0191,25,AW0191,0,1,6,12,23
L11,SO.s,S,AW0191,26,AW0191,0,1,7,12,23
L11,SO.s,S,AW0191,31,AW0191,0,1,11,15,23
L11,SO.s,S,AW0191,32,AW0191,0,1,10,17,33
L11,SO.s,S,AW0194,2,AW0194,0,1,6,15,33
L11,SO.s,S,AW0194,3,AW0194,0,1,9,18,33
L11,SO.s,S,AW0194,4,AW0194,0,1,7,14,33
L11,SO.s,S,AW0194,5,AW0194,0,1,6,13,5
L11,SO.s,S,AW0194,6,AW0194,0,1,6,13,5
L11,SO.s,S,AW0194,7,AW0194,0,1,8,18,5
L11,SO.s,S,AW0194,9,AW0194,0,1,12,21,5
L11,SO.s,S,AW0194,11,AW0194,0,1,3,3,22
L11,SO.s,S,AW0194,13,AW0194,0,1,5,12,22
L11,SO.s,S,AW0194,14,AW0194,0,1,10,16,22
L11,SO.s,S,AW0194,15,AW0194,0,1,6,16,22
L11,SO.s,S,AW0194,16,AW0194,0,1,8,10,27
L11,SO.s,S,AW0194,17,AW0194,0,1,8,20,27
L11,SO.s,S,AW0194,18,AW0194,0,1,9,20,27
L11,SO.s,S,AW0194,19,AW0194,0,1,4,8,27
L11,SO.s,S,AW0194,20,AW0194,0,1,5,10,29
L11,SO.s,S,AW0194,21,AW0194,0,1,5,4,29
L11,SO.s,S,AW0194,25,AW0194,0,1,6,17,29
L11,SO.s,S,AW0194,26,AW0194,0,1,5,9,29
L11,SO.s,S,AW0194,27,AW0194,0,1,5,12,33
L11,SO.s,S,AW0194,28,AW0194,0,1,7,14,33
L11,SO.s,S,AW0194,30,AW0194,0,1,14,30,33
L11,SO.s,S,AW0194,31,AW0194,0,1,14,29,33
L11,SO.s,S,AW0194,32,AW0194,0,1,4,5,33
L11,SO.s,S,AW0195,1,AW0195,0,1,7,16,33
L11,SO.s,S,AW0195,2,AW0195,0,1,3,5,33
L11,SO.s,S,AW0195,6,AW0195,0,1,5,13,33
L11,SO.s,S,AW0195,7,AW0195,0,1,4,6,35
L11,SO.s,S,AW0195,8,AW0195,0,1,6,8,35
L11,SO.s,S,AW0195,10,AW0195,0,1,7,16,35
L11,SO.s,S,AW0195,11,AW0195,0,1,8,22,35
L11,SO.s,S,AW0195,13,AW0195,0,1,11,26,37
L11,SO.s,S,AW0195,15,AW0195,0,1,8,22,37
L11,SO.s,S,AW0195,16,AW0195,0,1,11,23,37
L11,SO.s,S,AW0195,24,AW0195,0,1,10,19,37
L11,SO.s,S,AW0203,1,AW0203,0,1,5,12,1
L11,SO.s,S,AW0203,2,AW0203,0,1,2,5,1
L11,SO.s,S,AW0203,3,AW0203,0,1,4,6,1
L11,SO.s,S,AW0203,4,AW0203,0,1,4,10,1
L11,SO.s,S,AW0203,6,AW0203,0,1,3,7,8
L11,SO.s,S,AW0203,7,AW0203,0,1,12,28,8
L11,SO.s,S,AW0203,8,AW0203,0,1,4,4,8
L11,SO.s,S,AW0203,9,AW0203,0,1,5,12,8
L11,SO.s,S,AW0203,10,AW0203,0,1,5,8,12
L11,SO.s,S,AW0203,11,AW0203,0,1,13,15,12
L11,SO.s,S,AW0203,18,AW0203,0,1,6,20,12
L11,SO.s,S,AW0203,19,AW0203,0,1,9,15,12
L11,SO.s,S,AW0203,20,AW0203,0,1,4,4,15
L11,SO.s,S,AW0205,3,AW0205,0,1,8,10,15
L11,SO.s,S,AW0205,4,AW0205,0,1,5,11,15
L11,SO.s,S,AW0205,5,AW0205,0,1,9,22,15
L11,SO.s,S,AW0205,6,AW0205,0,1,11,20,20
L11,SO.s,S,AW0205,14,AW0205,0,1,8,32,20
L11,SO.s,S,AW0205,17,AW0205,0,1,5,15,20
L11,SO.s,S,AW0205,18,AW0205,0,1,10,21,20
L11,SO.s,S,AW0205,19,AW0205,0,1,5,10,27
L11,SO.s,S,AW0205,23,AW0205,0,1,13,25,27
L11,SO.s,S,AW0205,28,AW0205,0,1,8,13,27
L11,SO.s,S,AW0205,31,AW0205,0,1,5,9,27
L11,SO.s,S,AW0205,32,AW0205,0,1,9,16,35
