pop,ploidy,ms,region,garden,mom,id,weight,angle.of.attack,terminal.velocity,bristle.length,number.of.bristles,weight.1,weight.2,frames,time.to.travel.1m,angle.of.attack.a,angle.of.attack.b,notes,bristle.length.a,bristle.length.b,total.bristle.length,t.velocity,lat
L12,Diploid,S,Laramie,yes,L12F,L12F.2,0.0005,76,1.165501166,5.65,38,0.0004,0.0006,13,0.858,54,50,,5.6,5.7,11.3,1.165501166,41.25287
L12,Diploid,S,Laramie,yes,L12G,L12G.1,0.00105,57,2.164502165,5.45,32,0.0011,0.001,7,0.462,73,50,,5.2,5.7,10.9,2.164502165,41.25287
L12,Diploid,S,Laramie,yes,L12G,L12G.2,0.0005,64,1.377410468,5.8,31,0.001,0.001,11,0.726,73,43,,5.6,6,11.6,1.377410468,41.25287
L12,Diploid,S,Laramie,yes,L12H,L12H.1,0.00105,29,1.377410468,3.75,19,0.0003,0.0002,11,0.726,70,81,,4.3,3.2,7.5,1.377410468,41.25287
L12,Diploid,S,Laramie,yes,L12H,L12H.2,0.001,16,1.262626263,4.8,19,0.0004,0.0004,12,0.792,76,88,,4.9,4.7,9.6,1.262626263,41.25287
C59,Diploid,S,Yukon,no,C59Bulk,C59Bulk.1,0.00065,59,1.683501684,3.3,22,0.0008,0.0005,9,0.594,44,77,,3.2,3.4,6.6,1.683501684,62.1235
C59,Diploid,S,Yukon,no,C59Bulk,C59Bulk.2,0.00035,56,1.165501166,3.95,22,0.0004,0.0003,13,0.858,42,82,,4,3.9,7.9,1.165501166,62.1235
C59,Diploid,S,Yukon,no,C59.B,C59.B1,0.00095,81,1.165501166,6.25,37,0.001,0.0009,13,0.858,58,41,,6.1,6.4,12.5,1.165501166,62.1235
C59,Diploid,S,Yukon,no,C59.B,C59.B2,0.0008,59,1.377410468,5.95,44,0.0008,0.0008,11,0.726,64,57,,5.4,6.5,11.9,1.377410468,62.1235
C59,Diploid,S,Yukon,no,C59.C,C59.C1,0.0009,119,1.082251082,4.75,29,0.0009,0.0009,14,0.924,38,23,,4.4,5.1,9.5,1.082251082,62.1235
C59,Diploid,S,Yukon,no,C59.C,C59.C2,0.0008,105,1.082251082,4.85,27,0.0007,0.0009,14,0.924,65,10,,4.8,4.9,9.7,1.082251082,62.1235
C59,Diploid,S,Yukon,no,C59.D,C59.D1,0.0007,129,0.721500722,4.85,46,0.0007,0.0007,21,1.386,32,19,,5.1,4.6,9.7,0.721500722,62.1235
C59,Diploid,S,Yukon,no,C59.D,C59.D2,0.00025,96,0.688705234,4.85,44,0.0003,0.0002,22,1.452,51,33,,4.6,5.1,9.7,0.688705234,62.1235
